Date,Open,High,Low,Close,Adj Close,Volume
1998-02-06,479.799988,484.130005,479.609985,483.739990,483.739990,569650000
1998-02-09,483.739990,485.350006,480.519989,482.609985,482.609985,524810000
1998-02-10,482.609985,488.980011,482.540009,487.269989,487.269989,642800000
1998-02-11,487.269989,488.329987,486.190002,488.279999,488.279999,599300000
1998-02-12,488.279999,491.869995,482.739990,490.489990,490.489990,611480000
1998-02-13,490.489990,490.489990,487.359985,488.760010,488.760010,531940000
1998-02-17,488.760010,492.540009,488.519989,489.640015,489.640015,605890000
1998-02-18,489.640015,494.130005,488.910004,494.130005,494.130005,606000000
1998-02-19,494.130005,494.820007,491.230011,492.329987,492.329987,581820000
1998-02-20,492.329987,495.000000,489.230011,494.700012,494.700012,594300000
1998-02-23,494.700012,497.540009,493.809998,497.200012,497.200012,550730000
1998-02-24,497.200012,498.089996,493.579987,493.809998,493.809998,589880000
1998-02-25,493.809998,501.519989,493.809998,500.040009,500.040009,611350000
1998-02-26,500.040009,501.910004,498.140015,501.519989,501.519989,646280000
1998-02-27,501.519989,504.000000,499.709991,501.929993,501.929993,574480000
1998-03-02,501.929993,504.140015,499.239990,500.839996,500.839996,591470000
1998-03-03,500.839996,503.670013,498.750000,503.660004,503.660004,612360000
1998-03-04,503.660004,503.660004,498.839996,500.989990,500.989990,644280000
1998-03-05,500.989990,500.989990,491.269989,493.140015,493.140015,648270000
1998-03-06,493.140015,502.790009,493.140015,502.790009,502.790009,665500000
1998-03-09,502.790009,504.609985,500.059998,500.880005,500.880005,624700000
1998-03-10,500.880005,505.970001,500.880005,505.940002,505.940002,631920000
1998-03-11,505.940002,508.239990,505.750000,507.720001,507.720001,655260000
1998-03-12,507.720001,509.850006,505.390015,508.989990,508.989990,594940000
1998-03-13,508.989990,512.000000,507.239990,508.459991,508.459991,597800000
1998-03-16,508.459991,513.570007,508.459991,513.570007,513.570007,548980000
1998-03-17,513.570007,514.530029,510.070007,514.450012,514.450012,680960000
1998-03-18,514.450012,517.869995,513.010010,517.869995,517.869995,632690000
1998-03-19,517.869995,519.710022,516.760010,519.710022,519.710022,598240000
1998-03-20,519.710022,525.309998,518.539978,525.219971,525.219971,717310000
1998-03-23,525.219971,525.349976,521.400024,522.200012,522.200012,631350000
1998-03-24,522.200012,528.460022,522.200012,527.489990,527.489990,605720000
1998-03-25,527.489990,532.619995,522.549988,527.799988,527.799988,676550000
1998-03-26,527.799988,530.640015,525.789978,527.599976,527.599976,606770000
1998-03-27,527.599976,530.710022,522.770020,525.179993,525.179993,582190000
1998-03-30,525.179993,527.520020,523.489990,525.440002,525.440002,497400000
1998-03-31,525.440002,533.510010,525.440002,528.909973,528.909973,674930000
1998-04-01,528.909973,533.599976,526.080017,532.929993,532.929993,677310000
1998-04-02,532.929993,538.640015,532.469971,537.859985,537.859985,674340000
1998-04-03,537.859985,540.820007,536.390015,538.770020,538.770020,653880000
1998-04-06,538.770020,542.190002,536.619995,536.630005,536.630005,625810000
1998-04-07,536.630005,536.630005,529.219971,532.609985,532.609985,670760000
1998-04-08,532.609985,533.289978,526.789978,528.359985,528.359985,616330000
1998-04-09,528.359985,533.739990,528.359985,533.200012,533.200012,548940000
1998-04-13,533.200012,534.429993,528.950012,533.729980,533.729980,564480000
1998-04-14,533.729980,536.840027,533.250000,536.510010,536.510010,613730000
1998-04-15,536.510010,540.239990,535.700012,540.049988,540.049988,685020000
1998-04-16,540.049988,540.049988,534.260010,535.989990,535.989990,699570000
1998-04-17,535.989990,542.869995,533.289978,542.869995,542.869995,672290000
1998-04-20,542.869995,543.409973,539.780029,542.520020,542.520020,595190000
1998-04-21,542.520020,545.619995,539.650024,543.950012,543.950012,675640000
1998-04-22,544.309998,548.229980,543.969971,546.179993,546.179993,696740000
1998-04-23,546.799988,546.799988,539.880005,541.150024,541.150024,653190000
1998-04-24,541.150024,542.340027,532.909973,535.169983,535.169983,633890000
1998-04-27,535.169983,535.169983,521.280029,525.909973,525.909973,685960000
1998-04-28,525.909973,531.179993,522.250000,524.280029,524.280029,678600000
1998-04-29,524.280029,531.010010,524.280029,528.650024,528.650024,638790000
1998-04-30,528.650024,539.710022,528.650024,536.479980,536.479980,695600000
1998-05-01,536.460022,541.469971,536.460022,541.469971,541.469971,581970000
1998-05-04,541.469971,546.340027,541.380005,541.849976,541.849976,551700000
1998-05-05,541.849976,541.849976,536.789978,538.969971,538.969971,583630000
1998-05-06,538.789978,541.090027,534.239990,534.390015,534.390015,606540000
1998-05-07,534.390015,534.940002,528.909973,529.000000,529.000000,582240000
1998-05-08,529.000000,537.450012,528.340027,535.940002,535.940002,567890000
1998-05-11,535.940002,542.479980,534.229980,535.890015,535.890015,560840000
1998-05-12,535.890015,541.489990,534.419983,541.169983,541.169983,604420000
1998-05-13,541.169983,545.309998,541.169983,543.580017,543.580017,600010000
1998-05-14,543.580017,546.599976,539.469971,543.190002,543.190002,578380000
1998-05-15,543.190002,544.049988,537.739990,538.450012,538.450012,621990000
1998-05-18,538.450012,539.570007,531.500000,535.369995,535.369995,519100000
1998-05-19,535.369995,539.840027,535.369995,536.909973,536.909973,566020000
1998-05-20,536.909973,542.460022,536.219971,542.359985,542.359985,587240000
1998-05-21,542.359985,545.049988,538.669983,539.849976,539.849976,551970000
1998-05-22,539.849976,541.390015,537.380005,539.030029,539.030029,444070000
1998-05-26,539.030029,542.640015,531.359985,531.369995,531.369995,541410000
1998-05-27,531.369995,533.179993,522.409973,532.000000,532.000000,682040000
1998-05-28,532.000000,535.080017,530.409973,534.039978,534.039978,588900000
1998-05-29,534.039978,537.380005,528.969971,529.039978,529.039978,556780000
1998-06-01,529.039978,531.489990,523.989990,527.580017,527.580017,537660000
1998-06-02,527.580017,531.380005,526.619995,528.919983,528.919983,590930000
1998-06-03,528.919983,530.940002,522.460022,523.099976,523.099976,584480000
1998-06-04,523.099976,531.049988,521.280029,530.650024,530.650024,577470000
1998-06-05,530.710022,539.780029,530.650024,539.780029,539.780029,558440000
1998-06-08,539.780029,542.559998,538.580017,540.520020,540.520020,543390000
1998-06-09,540.520020,543.570007,538.409973,542.030029,542.030029,563610000
1998-06-10,542.030029,546.760010,539.260010,539.799988,539.799988,609410000
